Date,Last Price
11/10/2023 10:00,99.009
11/10/2023 6:00,99.089
11/10/2023 2:00,98.874
11/9/2023 10:00,99.606
11/9/2023 6:00,99.674
11/9/2023 2:00,99.697
11/8/2023 10:00,99.863
11/8/2023 6:00,99.77
11/8/2023 2:00,99.51
11/7/2023 10:00,99.507
11/7/2023 6:00,99.36
11/7/2023 2:00,99.282
11/6/2023 10:00,98.829
11/6/2023 6:00,98.843
11/6/2023 2:00,99.129
11/3/2023 11:00,99.62
11/3/2023 7:00,99.554
11/3/2023 3:00,99.004
11/2/2023 11:00,99.014
11/2/2023 7:00,99.231
11/2/2023 3:00,99.191
11/1/2023 11:00,98.618
11/1/2023 7:00,98.669
11/1/2023 3:00,98.072
10/31/2023 11:00,98.261
10/31/2023 7:00,98.542
10/31/2023 3:00,98.462
10/30/2023 11:00,98.127
10/30/2023 7:00,98.073
10/30/2023 3:00,98.112
10/27/2023 10:00,98.047
10/27/2023 6:00,98.038
10/27/2023 2:00,98.086
10/26/2023 10:00,97.8
10/26/2023 6:00,97.935
10/26/2023 2:00,97.601
10/25/2023 10:00,97.565
10/25/2023 6:00,97.773
10/25/2023 2:00,97.805
10/24/2023 10:00,98.083
10/24/2023 6:00,98.045
10/24/2023 2:00,98.246
10/23/2023 10:00,97.701
10/23/2023 6:00,97.509
10/23/2023 2:00,96.924
10/20/2023 10:00,97.559
10/20/2023 6:00,97.571
10/20/2023 2:00,97.196
10/19/2023 10:00,97.22
10/19/2023 6:00,97.34
10/19/2023 2:00,97.216
10/18/2023 10:00,97.267
10/18/2023 6:00,97.475
10/18/2023 2:00,97.548
10/17/2023 10:00,97.623
10/17/2023 6:00,97.588
10/17/2023 2:00,98.242
10/16/2023 10:00,98.438
10/16/2023 6:00,98.336
10/16/2023 2:00,98.413
10/13/2023 10:00,98.838
10/13/2023 6:00,98.828
10/13/2023 2:00,98.921
10/12/2023 10:00,98.424
10/12/2023 6:00,98.593
10/12/2023 2:00,98.884
10/11/2023 10:00,99.001
10/11/2023 6:00,98.804
10/11/2023 2:00,99.013
10/10/2023 10:00,98.521
